OrigDate,Price,Open,High,Low,Vol.,Change %,Date
44745,14.55,14.55,14.55,14.55,,4.65%,2022-07-03
44654,13.9,13.9,13.9,13.9,,-3.34%,2022-04-03
44623,14.38,14.38,14.38,14.38,,-2.48%,2022-03-03
44595,14.74,14.74,14.74,14.74,,2.23%,2022-02-03
44564,14.42,14.42,14.42,14.42,,-1.63%,2022-01-03
02/28/2022,14.66,14.66,14.66,14.66,,4.87%,2022-02-28
02/25/2022,13.98,13.98,13.98,13.98,,-2.44%,2022-02-25
02/24/2022,14.33,14.33,14.33,14.33,,0.76%,2022-02-24
02/23/2022,14.22,14.22,14.22,14.22,,0.36%,2022-02-23
02/22/2022,14.17,14.17,14.17,14.17,,-0.85%,2022-02-22
02/21/2022,14.29,14.29,14.29,14.29,,-0.66%,2022-02-21
02/18/2022,14.39,14.39,14.39,14.39,,12.97%,2022-02-18
02/17/2022,12.74,12.74,12.74,12.74,,-8.99%,2022-02-17
02/16/2022,13.99,13.99,13.99,13.99,,-0.10%,2022-02-16
02/15/2022,14.01,14.01,14.01,14.01,,0.44%,2022-02-15
02/14/2022,13.95,13.95,13.95,13.95,,-0.55%,2022-02-14
44867,14.02,14.02,14.02,14.02,,-0.19%,2022-11-02
44836,14.05,14.05,14.05,14.05,,0.60%,2022-10-02
44806,13.97,13.97,13.97,13.97,,-3.68%,2022-09-02
44775,14.5,14.5,14.5,14.5,,0.37%,2022-08-02
44744,14.45,14.45,14.45,14.45,,3.58%,2022-07-02
44653,13.95,13.95,13.95,13.95,,-2.14%,2022-04-02
44622,14.25,14.25,14.25,14.25,,-0.65%,2022-03-02
44594,14.35,14.35,14.35,14.35,,0.52%,2022-02-02
44563,14.27,14.27,14.27,14.27,,2.32%,2022-01-02
01/31/2022,13.95,13.95,13.95,13.95,,-1.99%,2022-01-31
01/28/2022,14.23,14.23,14.23,14.23,,0.19%,2022-01-28
01/27/2022,14.2,14.2,14.2,14.2,,-0.74%,2022-01-27
01/26/2022,14.31,14.31,14.31,14.31,,-2.96%,2022-01-26
01/25/2022,14.75,14.75,14.75,14.75,,-1.17%,2022-01-25
01/24/2022,14.92,14.92,14.92,14.92,,5.02%,2022-01-24
01/21/2022,14.21,14.21,14.21,14.21,,-1.65%,2022-01-21
01/20/2022,14.45,14.45,14.45,14.45,,-3.98%,2022-01-20
01/19/2022,15.04,15.04,15.04,15.04,,9.31%,2022-01-19
01/18/2022,13.76,13.76,13.76,13.76,,-2.82%,2022-01-18
01/17/2022,14.16,14.16,14.16,14.16,,-4.69%,2022-01-17
01/14/2022,14.86,14.86,14.86,14.86,,6.45%,2022-01-14
01/13/2022,13.96,13.96,13.96,13.96,,-3.74%,2022-01-13
44896,14.5,14.5,14.5,14.5,,-2.01%,2022-12-01
44866,14.8,14.8,14.8,14.8,,2.00%,2022-11-01
44835,14.51,14.51,14.51,14.51,,4.22%,2022-10-01
44743,13.92,13.92,13.92,13.92,,0.06%,2022-07-01
44713,13.91,13.91,13.91,13.91,,2.58%,2022-06-01
44682,13.56,13.56,13.56,13.56,,-3.08%,2022-05-01
44652,13.99,13.99,13.99,13.99,,-0.74%,2022-04-01
44621,14.1,14.1,14.1,14.1,,-0.86%,2022-03-01
12/31/2021,14.22,14.22,14.22,14.22,,-7.76%,2021-12-31
12/30/2021,15.42,15.42,15.42,15.42,,4.22%,2021-12-30
12/29/2021,14.79,14.79,14.79,14.79,,-0.31%,2021-12-29
12/28/2021,14.84,14.84,14.84,14.84,,-3.59%,2021-12-28
